thread_id,brand,customer_tweet_id,customer_text,gold_reply,created_at
uber_771,Uber_Support,771,@115873 you need to correct false charges from a trip in Lexington KY on Saturday. I want my $13 back #lyingdriver #theft,@115872 Happy to follow up! Contact us via https://t.co/1xM0TILvAI so we can connect.,Tue Oct 31 22:12:00 +0000 2017
uber_773,Uber_Support,773,@115873 my driver just drove me to the department of air travel instead of the airport.......... rufkm,"@115874 We're here to help! Send us a note here, https://t.co/WFtPA6RjWt and our team will be in touch.",Tue Oct 31 22:01:07 +0000 2017
uber_775,Uber_Support,775,@Uber_Support I’m not getting your texts. https://t.co/GhefNjQTfg,"@115875 We’re here to help, Travis! Send us a note via https://t.co/dwDjAokZht and we'll be in touch.",Tue Oct 31 21:59:51 +0000 2017
uber_777,Uber_Support,777,@115877 got this threw my door today went to order... sorry we don't deliver to your area! What!!! Why did I get this then! https://t.co/BGzU59vYJS,@115876 For more info about UberEats availability click here; https://t.co/3A9YFZQFaF,Tue Oct 31 21:58:10 +0000 2017
uber_780,Uber_Support,780,@Uber_Support Why is there no phone number ?? I'm literally stranded and now I have to wait for an automated reply this is ridiculous,@115878 We have received your DM and will follow up with you there.,Tue Oct 31 21:59:34 +0000 2017
uber_782,Uber_Support,782,Literally stranded because of @115873 and because there is no support phone number I have to wait from a message from @Uber_Support Smh 🤦🏾‍♂️,@115878 We're sorry to hear this was your experience. Can you send us a DM with your email address so we can connect?,Tue Oct 31 21:40:20 +0000 2017
uber_784,Uber_Support,784,"1 hour+ inside an old Altima that smells and has ripped stain seats, with an inexperienced miami driver @115873 standards down now 4 applying!","@115880 We're sorry to hear this was your experience, Ray. Please contact us via https://t.co/aBEgvdNWQN and we'll be in touch.",Tue Oct 31 22:11:47 +0000 2017
uber_1793,Uber_Support,1793,@Uber_Support I did. No response.,@116108 We're here to help! Send us a DM with your email address so we can follow up.,Tue Oct 31 23:46:02 +0000 2017
uber_1794,Uber_Support,1794,@115873 wtf is this.. every time I try to use the app it gives me this crap https://t.co/sp7kMe0ogA,@116108 Here to help! Send us a note via https://t.co/xMxswVLBKT so our team can connect.,Tue Oct 31 22:18:04 +0000 2017
uber_1797,Uber_Support,1797,@115877 your app and website still don’t work,@116109 We have followed up via DM.,Tue Oct 31 22:14:08 +0000 2017
uber_1800,Uber_Support,1800,@115873 hi just for a ride and it seemed to think I wanted to go to my original location. I canceled trip but want to see about being credited,@116110 Here to help! Send us a note via https://t.co/1xM0TILvAI so our team can assist.,Tue Oct 31 22:07:08 +0000 2017
uber_1802,Uber_Support,1802,"@Uber_Support I already dm y'all about 30 mins ago, check it out it is long and detailed.",@116111 We're currently reviewing your email and will be in touch shortly. We appreciate your patience!,Tue Oct 31 22:38:15 +0000 2017
uber_1803,Uber_Support,1803,Bruh can someone at @115873 @Uber_Support get back to me on my Dms 😒😒😒😒,@116111 Here to help! Send us a note via https://t.co/zJ6aIZinzb so our team can connect.,Tue Oct 31 22:19:10 +0000 2017
uber_1807,Uber_Support,1807,.@Uber_Support My driver broke down. Any tips on getting a refund?,@116112 We're sorry to hear this was your experience. Send us a note via https://t.co/K05RdmK3t4 so we can assist.,Tue Oct 31 22:13:49 +0000 2017
uber_1809,Uber_Support,1809,@Uber_Support i do not see we're the trid if is listed on the app.. i sent in a few message,@116113 Please DM us with your account email address and phone number so we can look into this. https://t.co/sd7yH5jmbJ,Tue Oct 31 22:01:31 +0000 2017
uber_1812,Uber_Support,1812,@115873 worst most unprofessional driver ever !! asked for extra fee when he showed up ! yelling at me cause uber don't pay for his 30k car??? https://t.co/i5qOULRSnc,@116113 Sorry to hear this was your experience! Please send us a note at https://t.co/K05RdmK3t4 so we can connect right away.,Tue Oct 31 21:50:15 +0000 2017
uber_1866,Uber_Support,1866,@Uber_Support I have submitted complain against over charging but still not response from uber support!!!!,@116127 Here to help! Please DM (direct message) us your email address so we can follow up. Thanks!,Fri Dec 01 06:44:23 +0000 2017
uber_2097,Uber_Support,2097,@Uber_Support done please check,"@116168 Hi, Singh. Please send us a DM with your account email address and phone number so we can locate your account. Thanks for your patience.",Fri Dec 01 06:50:57 +0000 2017
uber_2098,Uber_Support,2098,kya khassi support hai yaar @Uber_Support. i am an uber rider not driver. they are telling me to take docs to nearby uber office for verification and all i was asked was to update my cellphone number 👺👺,@116168 Happy to further assist you. Can you please send us a DM with your email address and additional details so we can follow up?,Fri Dec 01 06:40:48 +0000 2017
uber_2125,Uber_Support,2125,"@Uber_Support After contacting you concerning deactivation of my account, it was reactivated but after 48 hrs, ,it has been been deactivated. Please help",@116175 Hello! Thanks for your patience. Please check your DM ( direct messages) for our reply.,Fri Dec 01 04:25:43 +0000 2017
uber_2156,Uber_Support,2156,@Uber_Support do you also support ubereats singapore? im reaching out here bec the support there is useless. any chance you could help?,@116186 We're here to help! Send us a DM with your email address and more details so we can follow up.,Fri Dec 01 06:38:56 +0000 2017
uber_2404,Uber_Support,2404,When I open the GPS map on UberEATS and see that my driver has turned down the wrong street: https://t.co/awQwmNwfUV,@116264 Here to help. Send us a note at https://t.co/ptj11JUNYu so our team can connect.,Wed Nov 01 02:31:19 +0000 2017
uber_2406,Uber_Support,2406,"@115877 hey, I was wondering if you could give me a discount on my food I'm broke!",@116265 Happy to help! Please visit this link; https://t.co/qfimGYE4QO to know more about how to get a free food.,Sun Nov 26 00:19:46 +0000 2017
